DL No.,Category,Data Layer,Layer ID,API Status,Backend Source
243,Geospatial,Open Data Kit,37_open_data_kit,YES,Direct proxy via GET /api/data/:layerId → opendatakit.org
244,Geospatial,QGIS,37_qgis,YES,Direct proxy via GET /api/data/:layerId → qgis.org
245,Geospatial,GeoServer,37_geoserver,YES,Direct proxy via GET /api/data/:layerId → geoserver.org
246,Geospatial,MapServer,37_mapserver,YES,Direct proxy via GET /api/data/:layerId → mapserver.org
247,Geospatial,GeoNode,37_geonode,YES,Direct proxy via GET /api/data/:layerId → geonode.org
248,Geospatial,GeoNetwork,37_geonetwork,YES,Direct proxy via GET /api/data/:layerId → geonetwork-opensource.org
249,Geospatial,OpenLayers,37_openlayers,YES,Direct proxy via GET /api/data/:layerId → openlayers.org
250,Geospatial,Leaflet,37_leaflet,YES,Direct proxy via GET /api/data/:layerId → leafletjs.com
251,Geospatial,CesiumJS,37_cesiumjs,YES,Direct proxy via GET /api/data/:layerId → cesium.com
252,Geospatial,GDAL,37_gdal,YES,Direct proxy via GET /api/data/:layerId → gdal.org
253,Geospatial,PostGIS,37_postgis,YES,Direct proxy via GET /api/data/:layerId → postgis.net
254,Advanced,Global Solar Atlas,39_global_solar_atlas,YES,Direct proxy via GET /api/data/:layerId → globalsolaratlas.info
255,Advanced,Global Wind Atlas,39_global_wind_atlas,YES,Direct proxy via GET /api/data/:layerId → globalwindatlas.info
256,Advanced,NREL Data Catalog,39_nrel_data_catalog,YES,Direct proxy via GET /api/data/:layerId → data.nrel.gov
257,Advanced,EIA Open Data,39_eia_open_data,YES,Direct proxy via GET /api/data/:layerId → www.eia.gov
258,Advanced,OSM Power,39_osm_power,YES,Direct proxy via GET /api/data/:layerId → wiki.openstreetmap.org
259,Advanced,GRID3,39_grid3,YES,Direct proxy via GET /api/data/:layerId → grid3.org
260,Advanced,Energydata.info,39_energydata_info,YES,Direct proxy via GET /api/data/:layerId → energydata.info
261,Ecology,PhenoCam Network,41_phenocam_network,YES,Direct proxy via GET /api/data/:layerId → phenocam.nau.edu
262,Ecology,PhenoCam Data,41_phenocam_data,YES,Direct proxy via GET /api/data/:layerId → phenocam.nau.edu
263,Ecology,NEON Data Portal,41_neon_data_portal,YES,Direct proxy via GET /api/data/:layerId → data.neonscience.org
264,Ecology,LTAR Network,41_ltar_network,YES,Direct proxy via GET /api/data/:layerId → ltar.ars.usda.gov
265,Ecology,CZO Network,41_czo_network,YES,Direct proxy via GET /api/data/:layerId → criticalzone.org
266,Ecology,CZO Data Portal,41_czo_data_portal,YES,Direct proxy via GET /api/data/:layerId → criticalzone.org
267,Ecology,AmeriFlux Data,41_ameriflux_data,YES,Direct proxy via GET /api/data/:layerId → ameriflux.lbl.gov
268,Ocean,NDBC Buoy Data,42_ndbc_buoy_data,YES,Direct proxy via GET /api/data/:layerId → www.ndbc.noaa.gov
269,Seismic,COSMOS,43_cosmos,YES,Direct proxy via GET /api/data/:layerId → www.strongmotion.org
270,Seismic,COSMOS VDC,43_cosmos_vdc,YES,Direct proxy via GET /api/data/:layerId → www.strongmotioncenter.org
271,Seismic,K-NET / KiK-net,43_k_net_kik_net,YES,Direct proxy via GET /api/data/:layerId → www.kyoshin.bosai.go.jp
272,Seismic,GeoNet,43_geonet,YES,Direct proxy via GET /api/data/:layerId → www.geonet.org.nz
273,Seismic,GeoNet Data,43_geonet_data,YES,Direct proxy via GET /api/data/:layerId → www.geonet.org.nz
274,Seismic,CSN Chile,43_csn_chile,YES,Direct proxy via GET /api/data/:layerId → evtdb.csn.uchile.cl
275,Seismic,ShakeAlert,43_shakealert,YES,Direct proxy via GET /api/data/:layerId → www.shakealert.org
276,Seismic,USGS ShakeMap,43_usgs_shakemap,YES,Direct proxy via GET /api/data/:layerId → earthquake.usgs.gov
277,Seismic,USGS DyFI,43_usgs_dyfi,YES,Direct proxy via GET /api/data/:layerId → earthquake.usgs.gov
278,Hazards,NASA COOLR,44_nasa_coolr,YES,Direct proxy via GET /api/data/:layerId → landslides.nasa.gov
279,Hazards,NASA Landslide Reporter,44_nasa_landslide_reporter,YES,Direct proxy via GET /api/data/:layerId → landslides.nasa.gov
280,Hazards,LHASA,44_lhasa,YES,Direct proxy via GET /api/data/:layerId → gpm.nasa.gov
281,Hazards,High Mountain Asia,44_high_mountain_asia,YES,Direct proxy via GET /api/data/:layerId → nsidc.org
282,Hazards,TRMM Landslide,44_trmm_landslide,YES,Direct proxy via GET /api/data/:layerId → gpm.nasa.gov
283,Cryosphere,GlaThiDa,45_glathida,YES,Direct proxy via GET /api/data/:layerId → www.gtn-g.ch
284,Cryosphere,GTN-G,45_gtn_g,YES,Direct proxy via GET /api/data/:layerId → www.gtn-g.ch
285,Cryosphere,NSIDC Glacier Data,45_nsidc_glacier_data,YES,Direct proxy via GET /api/data/:layerId → nsidc.org
286,Cryosphere,TSP,45_tsp,YES,Direct proxy via GET /api/data/:layerId → gtnp.arcticportal.org
287,Cryosphere,DUE Permafrost,45_due_permafrost,YES,Direct proxy via GET /api/data/:layerId → gtnp.arcticportal.org
288,Ecology,Global Peatland DB,46_global_peatland_db,YES,Direct proxy via GET /api/data/:layerId → greifswaldmoor.de
289,Ecology,PeatData,46_peatdata,YES,Direct proxy via GET /api/data/:layerId → datadryad.org
290,Ecology,EIDC Peatland,46_eidc_peatland,YES,Direct proxy via GET /api/data/:layerId → eidc.ceh.ac.uk
291,Ecology,Holocene Peatland DB,46_holocene_peatland_db,YES,Direct proxy via GET /api/data/:layerId → www2.cifor.org
292,Ecology,RAMSAR,46_ramsar,YES,Direct proxy via GET /api/data/:layerId → rsis.ramsar.org
293,Ecology,US NWI,46_us_nwi,YES,Direct proxy via GET /api/data/:layerId → www.fws.gov
294,Ecology,GEDI Data,48_gedi_data,YES,Direct proxy via GET /api/data/:layerId → daac.ornl.gov
295,Ecology,ICESat-2 Biomass,48_icesat_2_biomass,YES,Direct proxy via GET /api/data/:layerId → ceos.org
296,Ecology,ICESat-2 Data,48_icesat_2_data,YES,Direct proxy via GET /api/data/:layerId → icesat-2.gsfc.nasa.gov
297,Ecology,GFW Data Portal,48_gfw_data_portal,YES,Direct proxy via GET /api/data/:layerId → data.globalforestwatch.org
298,Ecology,Rainfor,48_rainfor,YES,Direct proxy via GET /api/data/:layerId → www.rainfor.org
299,Ecology,ForestPlots.net,48_forestplots_net,YES,Direct proxy via GET /api/data/:layerId → www.forestplots.net
300,Geology,EarthChem Portal,49_earthchem_portal,YES,Direct proxy via GET /api/data/:layerId → www.earthchem.org
301,Geology,PetDB,49_petdb,YES,Direct proxy via GET /api/data/:layerId → www.earthchem.org
302,Geology,GEOROC,49_georoc,YES,Direct proxy via GET /api/data/:layerId → georoc.mpch-mainz.gwdg.de
303,Geology,GeoReM,49_georem,YES,Direct proxy via GET /api/data/:layerId → georem.mpch-mainz.gwdg.de
304,Geology,Deep Lithosphere Dataset,49_deep_lithosphere_dataset,YES,Direct proxy via GET /api/data/:layerId → www.earthchem.org
305,Geology,DARWIN,49_darwin,YES,Direct proxy via GET /api/data/:layerId → www.earthchem.org
306,Geology,PANGAEA Geochemistry,49_pangaea_geochemistry,YES,Direct proxy via GET /api/data/:layerId → www.pangaea.de
307,bathymetry_pt,EMODnet Bathymetry (Points),50_emodnet_bathymetry_pt,YES,Direct proxy via GET /api/data/:layerId → emodnet.ec.europa.eu
308,Ocean,GEBCO Grid,50_gebco,YES (client-side),Tile layer loaded directly by CesiumJS from wms.gebco.net
309,Ocean,EMODnet Bathymetry,50_emodnet_bathymetry,YES (client-side),Tile layer loaded directly by CesiumJS from ows.emodnet-bathymetry.eu
310,Ocean,EMODnet Chemistry,50_emodnet_chemistry,YES (client-side),Tile layer loaded directly by CesiumJS from ows.emodnet-chemistry.eu
311,Ocean,GlobColour Chlorophyll,50_globcolour,YES (client-side),Tile layer loaded directly by CesiumJS from hermes.acri.fr
312,Geology,InterRidge Vents,51_interridge_vents,YES,Direct proxy via GET /api/data/:layerId → vents-data.interridge.org
313,Geology,InterRidge V3.4,51_interridge_v3_4,YES,Direct proxy via GET /api/data/:layerId → doi.pangaea.de
314,Geology,GROTP,51_grotp,YES,Direct proxy via GET /api/data/:layerId → geothermal.org
315,Geology,NREL Geothermal,51_nrel_geothermal,YES,Direct proxy via GET /api/data/:layerId → www.nrel.gov
316,Geology,CRUST1.0,52_crust1_0,YES,Direct proxy via GET /api/data/:layerId → igppweb.ucsd.edu
317,Geology,CRUST2.0,52_crust2_0,YES,Direct proxy via GET /api/data/:layerId → igppweb.ucsd.edu
318,Geology,EIGEN-6C4,52_eigen_6c4,YES,Direct proxy via GET /api/data/:layerId → icgem.gfz-potsdam.de
319,Geology,XGM2019,52_xgm2019,YES,Direct proxy via GET /api/data/:layerId → icgem.gfz-potsdam.de
320,Geology,ICGEM,52_icgem,YES,Direct proxy via GET /api/data/:layerId → icgem.gfz-potsdam.de
321,Geology,EMGeo,52_emgeo,YES,Direct proxy via GET /api/data/:layerId → emgeo.org
322,Geology,MTNet,52_mtnet,YES,Direct proxy via GET /api/data/:layerId → www.mtnet.info
323,Hazards,GLOFAS,53_glofas,YES,Direct proxy via GET /api/data/:layerId → www.globalfloods.eu
324,Hazards,EFAS,53_efas,YES,Direct proxy via GET /api/data/:layerId → www.efas.eu
325,Hazards,ADCIRC,53_adcirc,YES,Direct proxy via GET /api/data/:layerId → adcirc.org
326,Hazards,SLOSH Display,53_slosh_display,YES,Direct proxy via GET /api/data/:layerId → www.nhc.noaa.gov
327,Hazards,HRRR-Smoke,53_hrrr_smoke,YES,Direct proxy via GET /api/data/:layerId → rapidrefresh.noaa.gov
328,Hazards,BehavePlus,53_behaveplus,YES,Direct proxy via GET /api/data/:layerId → www.frames.gov
329,Weather,NOAA CPC,57_noaa_cpc,YES,Direct proxy via GET /api/data/:layerId → www.cpc.ncep.noaa.gov
330,Advanced,WHYMAP,59_whymap,YES,Direct proxy via GET /api/data/:layerId → www.whymap.org
331,Advanced,IGRAC,59_igrac,YES,Direct proxy via GET /api/data/:layerId → www.un-igrac.org
332,Advanced,IGRAC Portal,59_igrac_portal,YES,Direct proxy via GET /api/data/:layerId → ggis.un-igrac.org
333,Advanced,USGS Groundwater Data,59_usgs_groundwater_data,YES,Direct proxy via GET /api/data/:layerId → waterdata.usgs.gov
334,Advanced,USGS Groundwater,60_usgs_groundwater,YES,Direct proxy via GET /api/data/:layerId → waterdata.usgs.gov
335,Geology,SuperMAG Data,62_supermag_data,YES,Direct proxy via GET /api/data/:layerId → supermag.jhuapl.edu
336,Geology,BGS Geomagnetism,62_bgs_geomagnetism,YES,Direct proxy via GET /api/data/:layerId → www.bgs.ac.uk
337,Geology,GFZ Geomagnetism,62_gfz_geomagnetism,YES,Direct proxy via GET /api/data/:layerId → www.gfz-potsdam.de
338,Geology,LISN,62_lisn,YES,Direct proxy via GET /api/data/:layerId → lisn.igp.gob.pe
339,Ecology,SRDB,63_srdb,YES,Direct proxy via GET /api/data/:layerId → github.com
340,Ecology,AmeriFlux BASE,63_ameriflux_base,YES,Direct proxy via GET /api/data/:layerId → ameriflux.lbl.gov
341,Ecology,NEON Soil Data,63_neon_soil_data,YES,Direct proxy via GET /api/data/:layerId → data.neonscience.org
342,Ecology,LTER Soil Carbon,63_lter_soil_carbon,YES,Direct proxy via GET /api/data/:layerId → lternet.edu
343,Ecology,SMAP Soil Moisture,63_smap_soil_moisture,YES,Direct proxy via GET /api/data/:layerId → smap.jpl.nasa.gov
344,Ecology,SMOS,63_smos,YES,Direct proxy via GET /api/data/:layerId → www.cesbio.cnrs.fr
345,Ecology,ASCAT Soil Moisture,63_ascat_soil_moisture,YES,Direct proxy via GET /api/data/:layerId → hsaf.meteoam.it
346,Weather,NEXRAD Level-II,64_nexrad_level_ii,YES,Direct proxy via GET /api/data/:layerId → registry.opendata.aws
347,Advanced,ILRS Data,66_ilrs_data,YES,Direct proxy via GET /api/data/:layerId → ilrs.gsfc.nasa.gov
348,Advanced,IVS Data,66_ivs_data,YES,Direct proxy via GET /api/data/:layerId → ivscc.gsfc.nasa.gov
349,Advanced,BKG Data Center,66_bkg_data_center,YES,Direct proxy via GET /api/data/:layerId → igs.bkg.bund.de
350,Advanced,GA Data Center,66_ga_data_center,YES,Direct proxy via GET /api/data/:layerId → www.ga.gov.au
351,Advanced,GNSS-IR,67_gnss_ir,YES,Direct proxy via GET /api/data/:layerId → gnss-reflections.org
352,Advanced,SMAP,67_smap,YES,Direct proxy via GET /api/data/:layerId → smap.jpl.nasa.gov
353,Advanced,CYGNSS,67_cygnss,YES,Direct proxy via GET /api/data/:layerId → science.nasa.gov
354,Advanced,CYGNSS Data,67_cygnss_data,YES,Direct proxy via GET /api/data/:layerId → podaac.jpl.nasa.gov
355,Advanced,Spire Weather,67_spire_weather,YES,Direct proxy via GET /api/data/:layerId → spire.com
356,Advanced,GeoOptics,67_geooptics,YES,Direct proxy via GET /api/data/:layerId → geooptics.com
357,Advanced,PlanetiQ,67_planetiq,YES,Direct proxy via GET /api/data/:layerId → www.planetiq.com
358,Advanced,ROM SAF,67_rom_saf,YES,Direct proxy via GET /api/data/:layerId → rom-saf.eumetsat.int
359,Geology,BGI Gravimetry,68_bgi_gravimetry,YES,Direct proxy via GET /api/data/:layerId → bgi.obs-mip.fr
360,Geology,NGA Geoid,68_nga_geoid,YES,Direct proxy via GET /api/data/:layerId → earth-info.nga.mil
361,Geology,GFZ Gravity,68_gfz_gravity,YES,Direct proxy via GET /api/data/:layerId → www.gfz-potsdam.de
362,Satellite,VIIRS Thermal Anomalies 375m,70_comet,YES (client-side),Tile layer loaded directly by CesiumJS from comet.nerc.ac.uk
363,Satellite,MODIS Cloud Phase IR,70_comet_licsar,YES (client-side),Tile layer loaded directly by CesiumJS from comet.nerc.ac.uk
364,Satellite,MODIS Sea Ice Daily,70_licsar,YES (client-side),Tile layer loaded directly by CesiumJS from comet.nerc.ac.uk
365,Satellite,AIRS Carbon Monoxide,70_asf_sar_data,YES (client-side),Tile layer loaded directly by CesiumJS from asf.alaska.edu
366,Satellite,MODIS NDSI Snow Cover,70_unavco_sar,YES (client-side),Tile layer loaded directly by CesiumJS from www.unavco.org
367,Satellite,VIIRS Sea Surface Temp,70_squeesar,YES (client-side),Tile layer loaded directly by CesiumJS from www.tre-altamira.com
368,Satellite,MODIS EVI 8-Day,70_mintpy,YES (client-side),Tile layer loaded directly by CesiumJS from github.com
369,Advanced,PAGES 2k,71_pages_2k,YES,Direct proxy via GET /api/data/:layerId → pastglobalchanges.org
370,Advanced,Iso2k,71_iso2k,YES,Direct proxy via GET /api/data/:layerId → www.ncei.noaa.gov
371,Advanced,SWITCH,71_switch,YES,Direct proxy via GET /api/data/:layerId → www.hydrology.nl
372,Advanced,LMWL Database,71_lmwl_database,YES,Direct proxy via GET /api/data/:layerId → www.hydrology.nl
373,Advanced,Paleo Hydrology,71_paleo_hydrology,YES,Direct proxy via GET /api/data/:layerId → www.ncei.noaa.gov
374,Seismic,Earthquakes,earthquakes,YES,Dedicated endpoint in server/index.ts
375,Seismic,Tectonic Plates,tectonic,YES,Dedicated endpoint in server/index.ts
376,Seismic,Seismic Wave Propagation,seismic_waves,YES,Group fallback (seismic) via GET /api/data/:layerId
377,Seismic,Tsunami Propagation,tsunami,YES,Group fallback (seismic) via GET /api/data/:layerId
378,Seismic,Seismic Heatmap,heatmap,YES,Group fallback (seismic) via GET /api/data/:layerId
379,Aviation,Flight Tracks,flight_tracks,YES,Direct proxy via GET /api/data/:layerId → adsb.lol
380,Aviation,Major Airports,airports,YES,Dedicated endpoint in server/index.ts
381,Aviation,Airspace Boundaries,airspaces,YES,Dedicated endpoint in server/index.ts
382,Space,Space Debris,space_debris,YES,Dedicated endpoint in server/index.ts
383,Space,NASA Deep Space Network,nasa_dsn,YES,Dedicated endpoint in server/index.ts
384,Space,Space Weather,space_weather,YES,Dedicated endpoint in server/index.ts
385,Weather,Lightning Strikes,lightning_strikes,YES,Dedicated endpoint in server/index.ts
386,Atmosphere,Polar Auroral Oval,aurora_oval,YES,Dedicated endpoint in server/index.ts
387,Weather,Storm Forecast Cone,storm_forecast,YES,Group fallback (weather) via GET /api/data/:layerId
388,Weather,Smoke Dispersion,smoke_dispersion,YES,Group fallback (weather) via GET /api/data/:layerId
389,Weather,Wildfires,wildfires,YES,Dedicated endpoint in server/index.ts
390,Weather,Severe Storms,severe_storms,YES,Dedicated endpoint in server/index.ts
391,Weather,Volcanoes,volcanoes,YES,Dedicated endpoint in server/index.ts
392,Hazards,Flood Reports,floods,YES,Dedicated endpoint in server/index.ts
393,Atmosphere,Dust Storms,dust,YES,Group fallback (atmosphere) via GET /api/data/:layerId
394,Cryosphere,Icebergs & Sea Ice,seaLakeIce,YES,Group fallback (cryosphere) via GET /api/data/:layerId
395,Hazards,Disaster Alerts,disaster_alerts,YES,Dedicated endpoint in server/index.ts
396,Hazards,Disasters Near Me,disaster_near_me,YES,Group fallback (hazards) via GET /api/data/:layerId
397,Hazards,Flood Extent Mapping,flood_extent,YES (client-side),Tile layer loaded directly by CesiumJS
398,Hazards,Landslides,landslides,YES,Dedicated endpoint in server/index.ts
399,Advanced,Live Webcams,india_cctv,YES,Dedicated endpoint in server/index.ts
400,Advanced,Intel Feed,intel_feed,NO,No API endpoint or group fallback
401,Geospatial,Population Impact Zones,population_impact,YES,Group fallback (geospatial) via GET /api/data/:layerId
402,Advanced,Undersea Fiber Cables,submarine_cables,YES,Dedicated endpoint in server/index.ts
403,Ecology,Animal Migrations,animal_migrations,YES,Dedicated endpoint in server/index.ts
404,Advanced,Electricity Grid,electricity_grid,YES,Dedicated endpoint in server/index.ts
405,Satellite,VIIRS NOAA-20 True Color,nasa_gibs,YES (client-side),Tile layer loaded directly by CesiumJS from gibs.earthdata.nasa.gov
406,Satellite,VIIRS Black Marble,night_lights,YES (client-side),Tile layer loaded directly by CesiumJS
407,Atmosphere,Aerosol Index,aerosol_index,YES (client-side),Tile layer loaded directly by CesiumJS
408,Atmosphere,Dust Score,dust_score,YES (client-side),Tile layer loaded directly by CesiumJS
409,Cryosphere,Sea Ice,sea_ice,YES (client-side),Tile layer loaded directly by CesiumJS
410,Atmosphere,Temperature Anomaly,temp_anomaly,YES (client-side),Tile layer loaded directly by CesiumJS
411,Weather,Precipitation,precipitation,YES (client-side),Tile layer loaded directly by CesiumJS
412,Weather,Wind Speed,wind,YES (client-side),Tile layer loaded directly by CesiumJS
413,Weather,Pressure,pressure,YES (client-side),Tile layer loaded directly by CesiumJS
414,Atmosphere,CO Index,co_index,YES (client-side),Tile layer loaded directly by CesiumJS
415,Atmosphere,SO2 Index,so2_index,YES (client-side),Tile layer loaded directly by CesiumJS
416,Ecology,Land Cover,land_cover,YES (client-side),Tile layer loaded directly by CesiumJS
417,Geospatial,Digital Twin Buildings,dt_buildings,YES (client-side),Tile layer loaded directly by CesiumJS
